Lon,Lat,Region,Year,BarySL,GIA_Field_KS,IBAint,SDSL,SL_multi,Reconstruction
-70.375,42.875,4,1917,-0.08735700175783406,-0.1145962530642386,0.0017571779290772702,-0.005182164530480022,-0.09078198835923684,-0.2053782414234754
-70.375,42.875,4,1918,-0.08588193922277246,-0.11349436601554386,-0.0016562943365477382,-0.010695203059940955,-0.0982334366192613,-0.211727802634805
-70.375,42.875,4,1919,-0.08252413256514395,-0.11239247896684912,0.005342020038452153,-0.007077367644031017,-0.08425948017072292,-0.19665195913757194
-70.375,42.875,4,1920,-0.08192620771522803,-0.11129059191815482,-0.004655153262329009,-0.008627768454879956,-0.0952091294324371,-0.2064997213505918
-70.375,42.875,4,1921,-0.08191553737656185,-0.11018870486946009,-0.0015046213385009658,-0.01291144194107654,-0.09633160065613962,-0.20652030552559944
-70.375,42.875,4,1922,-0.08165513451459347,-0.10908681782076535,-0.011904466817016592,-0.011410929352694887,-0.10497053068430515,-0.2140573485050703
-70.375,42.875,4,1923,-0.08456000595752984,-0.10798493077207061,-0.008512310537719689,-0.008197534292504673,-0.10126985078775404,-0.2092547815598248
-70.375,42.875,4,1924,-0.07999630056426127,-0.10688304372337631,0.004114241893920795,-0.009335951132952595,-0.08521800980329322,-0.1921010535266694
-70.375,42.875,4,1925,-0.0798763846221138,-0.10578115667468158,-2.9519463500950914e-5,-0.024841050244995274,-0.10474695433061003,-0.2105281110052916
-70.375,42.875,4,1926,-0.07968700074037857,-0.10467926962598684,0.006327299491577138,-0.01865318914265007,-0.09201289039145126,-0.19669216001743833
-70.375,42.875,4,1927,-0.0774346462637673,-0.10357738257729254,0.0022781445208739743,-0.016723671920021825,-0.09188017366291527,-0.1954575562402077
-70.375,42.875,4,1928,-0.07305304961383,-0.1024754955285978,0.01612055012634267,-0.03812137602584713,-0.09505387551333451,-0.19752937104193224
-70.375,42.875,4,1929,-0.07228913376738329,-0.10137360847990307,0.0080864472064209,-0.03664051432404825,-0.10084320088501082,-0.20221680936491368
-70.375,42.875,4,1930,-0.07101692725318859,-0.10027172143120877,0.011289058788452249,-0.04215125465398076,-0.10187912311871747,-0.20215084454992588
-70.375,42.875,4,1931,-0.06985751487549956,-0.09916983438251403,0.008923518622436644,-0.023449578301721508,-0.08438357455478408,-0.18355340893729846
-70.375,42.875,4,1932,-0.06593388378202228,-0.0980679473338193,0.00517218028259278,-0.022737400381421403,-0.08349910388085102,-0.1815670512146702
-70.375,42.875,4,1933,-0.06435540000182743,-0.096966060285125,-6.899183502197411e-4,-0.014195054405411044,-0.07924037275745836,-0.17620643304258324
-70.375,42.875,4,1934,-0.06746808100514458,-0.09586417323643026,-0.0011388493756103535,-0.014194113078348254,-0.08280104345910332,-0.17866521669553342
-70.375,42.875,4,1935,-0.0656843254255139,-0.09476228618773552,-9.289601763915725e-4,-0.025221685051254675,-0.09183497065316008,-0.18659725684089568
-70.375,42.875,4,1936,-0.06203408833578939,-0.09366039913904078,0.004882726513061481,-0.02575738678729582,-0.0829087486100237,-0.17656914774906451
-70.375,42.875,4,1937,-0.06045495217975457,-0.09255851209034649,0.008659040097045826,-0.021681308246336625,-0.0734772203290454,-0.16603573241939187
-70.375,42.875,4,1938,-0.059772535351217515,-0.09145662504165175,-0.006687530957641675,-0.013797505294485278,-0.08025757160334465,-0.17171419664499624
-70.375,42.875,4,1939,-0.05982646001471809,-0.09035473799295701,0.00416671014587394,-0.01614315488866367,-0.07180290475750797,-0.16215764275046482
-70.375,42.875,4,1940,-0.05915118494955912,-0.08925285094426272,0.006006831083374122,-0.00750544447284243,-0.06064979833902753,-0.14990264928329014
-70.375,42.875,4,1941,-0.057176466987917465,-0.08815096389556798,0.012411722323608416,-0.00578967250764901,-0.050554417171958084,-0.13870538106752603
-70.375,42.875,4,1942,-0.05416889973963052,-0.08704907684687324,0.015049415741577086,-0.00936116362308575,-0.048480647621139135,-0.13552972446801242
-70.375,42.875,4,1943,-0.05166605966877212,-0.08594718979817895,-0.0024539234869383284,-0.01866728462078132,-0.07278726777649167,-0.15873445757467072
-70.375,42.875,4,1944,-0.05127836616417287,-0.08484530274948421,0.0028833549993895584,-0.010199811203037108,-0.05859482236782041,-0.14344012511730464
-70.375,42.875,4,1945,-0.0495711066969553,-0.08374341570078947,0.00649237897399899,0.0011634656013194545,-0.04191526212163687,-0.12565867782242635
-70.375,42.875,4,1946,-0.04876522235353317,-0.08264152865209518,-0.011677649502563458,-0.011735529381028441,-0.07217840123712514,-0.15481992988922025
-70.375,42.875,4,1947,-0.04760333003177738,-0.08153964160340044,0.009364766825561543,-0.011182882256865605,-0.049421445463081456,-0.13096108706648188
-70.375,42.875,4,1948,-0.04807176896359464,-0.0804377545547057,-0.00988526083068853,0.002495791422880011,-0.055461238371403127,-0.13589899292610885
-70.375,42.875,4,1949,-0.0456655204674317,-0.07933586750601096,-0.012593670215454253,-0.011955278915039487,-0.07021446959792522,-0.14955033710393636
-70.375,42.875,4,1950,-0.045634802433865286,-0.07823398045731667,-0.010376856211547797,-0.007527923223390341,-0.06353958186880351,-0.1417735623261201
-70.375,42.875,4,1951,-0.04155504076107683,-0.07713209340862193,-0.005028203262329116,0.0071025918681437246,-0.03948065215526213,-0.11661274556388414
-70.375,42.875,4,1952,-0.0407551595224521,-0.07603020635992719,0.0024039193646239873,-0.004647318355072366,-0.04299855851290042,-0.11902876487282767
-70.375,42.875,4,1953,-0.03961710038725523,-0.0749283193112329,0.011931614745483482,0.004492420339272578,-0.023193065302499257,-0.09812138461373206
-70.375,42.875,4,1954,-0.039397012653123495,-0.07382643226253816,0.007825449833373943,-8.014830255924706e-5,-0.031651711122308704,-0.10547814338484696
