Process,Lon,Lat,Year,m_se
Sterodynamic,-70.375,42.875,1932,0.02136664311163978
Sterodynamic,-70.375,42.875,1933,0.02091094140483941
Sterodynamic,-70.375,42.875,1934,0.02149462529680175
Sterodynamic,-70.375,42.875,1935,0.021296087275478597
Sterodynamic,-70.375,42.875,1936,0.021582871970795448
Sterodynamic,-70.375,42.875,1937,0.021380003554142123
Sterodynamic,-70.375,42.875,1938,0.020758036212902856
Sterodynamic,-70.375,42.875,1939,0.020434403399499725
Sterodynamic,-70.375,42.875,1940,0.02039345572149984
Sterodynamic,-70.375,42.875,1941,0.020051668340249237
Sterodynamic,-70.375,42.875,1942,0.019648250626204775
Sterodynamic,-70.375,42.875,1943,0.019688332043614303
Sterodynamic,-70.375,42.875,1944,0.019686415098322703
Sterodynamic,-70.375,42.875,1945,0.018900717361081544
Sterodynamic,-70.375,42.875,1946,0.018729772426843774
Sterodynamic,-70.375,42.875,1947,0.01868608449643965
Sterodynamic,-70.375,42.875,1948,0.018495069396709495
Sterodynamic,-70.375,42.875,1949,0.018124299873812682
Sterodynamic,-70.375,42.875,1950,0.018211212915425847
Sterodynamic,-70.375,42.875,1951,0.01888753736194596
Sterodynamic,-70.375,42.875,1952,0.018060560393400756
Sterodynamic,-70.375,42.875,1953,0.017725361685838402
Sterodynamic,-70.375,42.875,1954,0.018187523416332216
Sterodynamic,-70.375,42.875,1955,0.01718042663333226
Sterodynamic,-70.375,42.875,1956,0.01727170934544754
Sterodynamic,-70.375,42.875,1957,0.017359331712467403
Sterodynamic,-70.375,42.875,1958,0.01684363439383366
Sterodynamic,-70.375,42.875,1959,0.01683672435257697
Sterodynamic,-70.375,42.875,1960,0.016933500622186577
Sterodynamic,-70.375,42.875,1961,0.016175492395937456
Sterodynamic,-70.375,42.875,1962,0.01648143703085994
Sterodynamic,-70.375,42.875,1963,0.01635274973326733
Sterodynamic,-70.375,42.875,1964,0.016071064664438885
Sterodynamic,-70.375,42.875,1965,0.01630379439329516
Sterodynamic,-70.375,42.875,1966,0.01559752674067586
Sterodynamic,-70.375,42.875,1967,0.01555289142590538
Sterodynamic,-70.375,42.875,1968,0.015920625401514708
Sterodynamic,-70.375,42.875,1969,0.015109146994706585
Sterodynamic,-70.375,42.875,1970,0.015069810146074905
Sterodynamic,-70.375,42.875,1971,0.014749433865169194
Sterodynamic,-70.375,42.875,1972,0.01637733212673972
Sterodynamic,-70.375,42.875,1973,0.01456264101730884
Sterodynamic,-70.375,42.875,1974,0.014383212030168986
Sterodynamic,-70.375,42.875,1975,0.014185134259717578
Sterodynamic,-70.375,42.875,1976,0.014223147576945453
Sterodynamic,-70.375,42.875,1977,0.014133819062750123
Sterodynamic,-70.375,42.875,1978,0.013668980550658455
Sterodynamic,-70.375,42.875,1979,0.013698575763419743
Sterodynamic,-70.375,42.875,1980,0.014736366392525414
Sterodynamic,-70.375,42.875,1981,0.013451010909086685
Sterodynamic,-70.375,42.875,1982,0.01309729170115398
Sterodynamic,-70.375,42.875,1983,0.01359099388581696
Sterodynamic,-70.375,42.875,1984,0.012667548368829353
Sterodynamic,-70.375,42.875,1985,0.013381292617259349
Sterodynamic,-70.375,42.875,1986,0.012789883701936773
Sterodynamic,-70.375,42.875,1987,0.012053923596999637
