CCAR's Altimetry Explorer
https://ccar.colorado.edu/altimetry/
ALTIMETRY INFORMATION
lat,-14.25
lon,-170.75
Source,JPL SSHA Grids v1812

TIDEGAUGE INFORMATION
lat,-14.282999992370605
lon,189.31700134277344
code,56
location,Pago Pago
Source,UHSLC FD + RQ data


Altimetry,,,Tide Gauge
time,sla (cm),,time,sla (cm)
1996.448323066393,6.893841309579582,,1996.448323066393,0.9681126269947651
1996.4620123203285,6.652398342112771,,1996.4620123203285,0.8136640142481938
1996.4757015742641,6.397256355377852,,1996.4757015742641,0.49160068258969053
1996.4893908282,6.189238493076133,,1996.4893908282,0.6797330082972886
1996.5030800821355,6.063970356302272,,1996.5030800821355,0.679058369349998
1996.516769336071,6.132430478120323,,1996.516769336071,0.5137420292067698
1996.530458590007,6.43029902076977,,1996.530458590007,0.3772494238713596
1996.5441478439425,6.709963059492231,,1996.5441478439425,0.5553996412888615
1996.557837097878,6.797564459814573,,1996.557837097878,0.49557147499969195
1996.5715263518139,6.6592168054204715,,1996.5715263518139,0.5143703939723111
1996.5852156057495,6.486375225833735,,1996.5852156057495,0.7822186350235848
1996.598904859685,6.318861844909484,,1996.598904859685,0.8002537003666065
1996.6125941136208,6.206758650215745,,1996.6125941136208,0.8310743690809729
1996.6262833675564,6.147039005507451,,1996.6262833675564,0.8756425236433011
1996.6399726214922,6.015787683371386,,1996.6399726214922,0.6348028829773334
1996.6536618754278,5.872408443774125,,1996.6536618754278,0.47849804649101635
1996.6673511293634,5.691858403644024,,1996.6673511293634,-0.08501306249043321
1996.6810403832992,5.441853310125609,,1996.6810403832992,-0.6322407465803758
1996.6947296372348,5.005005176553299,,1996.6947296372348,-1.1244692673162824
1996.7084188911704,4.357673876775529,,1996.7084188911704,-1.6000652920402094
1996.7221081451062,3.6679072658221292,,1996.7221081451062,-2.1667823899927883
1996.7357973990418,3.036959210207861,,1996.7357973990418,-2.5709847932314434
1996.7494866529773,2.536553271450434,,1996.7494866529773,-3.0668675907767664
1996.7631759069131,2.1480822699014195,,1996.7631759069131,-3.43951985427364
1996.7768651608487,1.9103344732857084,,1996.7768651608487,-4.058754205237549
1996.7905544147843,1.6337342398155859,,1996.7905544147843,-4.817549486609324
1996.8042436687201,1.1887359730524123,,1996.8042436687201,-5.447414800368498
1996.8179329226557,0.6226804739729448,,1996.8179329226557,-5.9029832166190594
1996.8316221765913,0.013836231524357832,,1996.8316221765913,-6.508143485084319
1996.845311430527,-0.5396017720864479,,1996.845311430527,-6.663710394320132
1996.8590006844627,-0.9094692360633808,,1996.8590006844627,-6.801249796261823
1996.8726899383983,-1.1127452775281381,,1996.8726899383983,-6.867674282835393
1996.886379192334,-1.1666206749568848,,1996.886379192334,-6.579071606710634
1996.9000684462696,-1.2077808076912508,,1996.9000684462696,-6.4360740274864705
1996.9137577002055,-1.2509865087480452,,1996.9137577002055,-6.385384378093668
1996.927446954141,-1.338830397775093,,1996.927446954141,-6.4582284017329625
1996.9411362080766,-1.5462979581627998,,1996.9411362080766,-6.801118194570811
1996.9548254620124,-1.8495026684853892,,1996.9548254620124,-6.9450807143665205
1996.968514715948,-2.137398860913814,,1996.968514715948,-7.259505206441114
1996.9822039698836,-2.33848376547668,,1996.9822039698836,-7.675224828395917
1996.9958932238194,-2.424860839662467,,1996.9958932238194,-8.061447650056916
1997.009582477755,-2.4803346904666865,,1997.009582477755,-8.13345979915356
1997.0232717316906,-2.5647685012263404,,1997.0232717316906,-8.198792665316425
1997.0369609856264,-2.7588655283948333,,1997.0369609856264,-8.180315229272837
1997.050650239562,-3.004204129889792,,1997.050650239562,-8.262404829829743
1997.0643394934975,-3.285578123525979,,1997.0643394934975,-8.614041943276009
1997.0780287474333,-3.4837890495416675,,1997.0780287474333,-8.804212983413109
1997.091718001369,-3.528614059119164,,1997.091718001369,-8.763466659438356
1997.1054072553045,-3.413800977374978,,1997.1054072553045,-8.168546361327895
1997.1190965092403,-3.05392797172427,,1997.1190965092403,-7.680867224069479
1997.132785763176,-2.5801566652594072,,1997.132785763176,-7.523452721475422
1997.1464750171115,-2.078813095957383,,1997.1464750171115,-6.857868779082067
1997.1601642710473,-1.5362488034938528,,1997.1601642710473,-5.968847318123039
1997.1738535249829,-1.0235024225309945,,1997.1738535249829,-5.118137384934554
1997.1875427789184,-0.5727697474343312,,1997.1875427789184,-4.629122118234218
1997.2012320328543,-0.2551000749594539,,1997.2012320328543,-4.525278372968762
1997.2149212867898,-0.03768600523775398,,1997.2149212867898,-4.660940543033919
1997.2286105407256,0.10769995235405921,,1997.2286105407256,-5.021291772130436
1997.2422997946612,0.09126023060293359,,1997.2422997946612,-5.160813539860599
1997.2559890485968,-0.1014724194026996,,1997.2559890485968,-5.557117017270597
1997.2696783025326,-0.4764762718448683,,1997.2696783025326,-6.457079676349429
1997.2833675564682,-0.9805057110108373,,1997.2833675564682,-7.646056870331183
1997.2970568104038,-1.5620356484058964,,1997.2970568104038,-8.37093816595674
1997.3107460643396,-2.140672761370475,,1997.3107460643396,-8.855510564724304
1997.3244353182752,-2.639804984204851,,1997.3244353182752,-9.33889847304577
1997.3381245722107,-3.129162896431083,,1997.3381245722107,-9.998619524020878
1997.3518138261466,-3.6335653239834396,,1997.3518138261466,-10.589026115837218
1997.3655030800821,-4.176923134243291,,1997.3655030800821,-10.972056352217153
1997.3791923340177,-4.705299868332833,,1997.3791923340177,-11.440294949572413
1997.3928815879535,-5.092671465537246,,1997.3928815879535,-11.64772923022309
1997.406570841889,-5.280264609545134,,1997.406570841889,-11.60204678370311
1997.4202600958247,-5.158266390364826,,1997.4202600958247,-11.680013597154216
1997.4339493497605,-4.778919195254925,,1997.4339493497605,-11.47362520291072
1997.447638603696,-4.2985329524647495,,1997.447638603696,-10.813184823326292
1997.4613278576317,-3.819284830274441,,1997.4613278576317,-10.082693151258827
1997.4750171115675,-3.4300618134941163,,1997.4750171115675,-9.51985736956937
1997.488706365503,-3.0608959649266914,,1997.488706365503,-8.893026903164698
1997.5023956194386,-2.7727072950066716,,1997.5023956194386,-8.708901754193503
1997.5160848733744,-2.4931139739558104,,1997.5160848733744,-8.335628405744831
